latitude,longitude,score
42.35728073,-71.06104767,1.705163523
42.36077499,-71.14373319,1.689973133
42.35343933,-71.05916942,1.526837307
42.35779953,-71.0617,1.48306308
42.35842896,-71.0597732,1.446585748
42.31544113,-71.09007267,1.74755843
42.34877777,-71.09545879,1.746696951
42.31522751,-71.09016677,1.689973133
42.31547165,-71.09006001,1.54543671
42.34650803,-71.0972024,1.641561178
42.28298187,-71.0290798,1.313923162
42.33755493,-71.13297613,1.74755843
42.3153038,-71.08986385,1.639739198
42.36023331,-71.05734884,1.65634034
42.36064911,-71.05539805,1.569969121
42.35611725,-71.0552516,1.498731394
42.35611725,-71.0552516,0.608079234
42.35611725,-71.0552516,1.64452253
42.35611725,-71.0552516,1.48306308
42.35611725,-71.0552516,1.64452253
42.35611725,-71.0552516,0.647066291
42.35438919,-71.06234432,0.735271723
42.33718491,-71.0806041,1.569969121
42.36587524,-71.06187608,1.2001691
42.34611893,-71.04551531,0.785278571
42.34700775,-71.07576369,1.48306308
42.35055923,-71.0775531,1.461767762
42.30160522,-71.07788993,0.559191019
42.30159378,-71.07777145,0.674280153
42.33712006,-71.0805108,1.354142252
42.35110855,-71.116518,1.594209989
42.32870102,-71.0917903,1.74755843
42.32868576,-71.0917793,1.20451044
42.35611725,-71.0552516,1.64452253
42.35499954,-71.1341,1.321427926
42.34430695,-71.089061,0.674280153
42.35005569,-71.048486,1.569969121
42.28712082,-71.0778603,0.735271723
42.28710938,-71.0778541,0.608079234
42.35000992,-71.06575073,1.536135527
42.32447052,-71.1649925,0.674280153
42.30801392,-71.13108743,1.360041422
42.35842896,-71.0597732,1.519569529
42.34339905,-71.05079991,0.725088738
42.34723282,-71.0959756,1.64452253
42.34711838,-71.09883768,1.74755843
42.36587524,-71.06187608,0.608079234
42.35611725,-71.0552516,0.719800677
42.35611725,-71.0552516,0.674280153
42.35088348,-71.06464128,1.746696951
42.35082245,-71.13119665,1.715567252
42.35082245,-71.13119665,1.470525724
42.31132507,-71.0672623,0.972209314
42.31132126,-71.0672577,0.622673297
42.35000992,-71.06575073,1.583141421
42.35000992,-71.06575073,1.321427926
42.35611725,-71.0552516,1.596086919
42.35611725,-71.0552516,1.441350846
42.35611725,-71.0552516,0.608079234
42.31970215,-71.1763992,1.446585748
42.35611725,-71.0552516,0.957626722
42.35611725,-71.0552516,1.321427926
42.35611725,-71.0552516,0.716366394
42.33990479,-71.0898892,1.681152
42.33795929,-71.13267898,1.526837307
42.33729553,-71.13329217,1.526837307
42.33765411,-71.13303384,1.526837307
42.35611725,-71.0552516,0.608079234
42.35611725,-71.0552516,1.103644992
42.35611725,-71.0552516,0.608079234
42.33795547,-71.13262741,1.731875478
42.33762741,-71.13299972,1.526837307
42.3379097,-71.13273076,1.735831232
42.33761978,-71.13302487,1.208971795
42.33776474,-71.13300685,1.578465389
42.33763885,-71.1328859,1.730994636
42.35842896,-71.0597732,1.681152
42.34699631,-71.07316472,0.608079234
42.33758545,-71.13296849,1.591107209
42.34923553,-71.138639,0.545305906
42.3557663,-71.07121099,1.897326036
42.34488678,-71.07955067,0.693793605
42.34500504,-71.07958883,0.608079234
42.36000824,-71.056741,1.681152
42.35611725,-71.0552516,1.803859016
42.31134415,-71.0674488,1.624522458
42.27605438,-71.167216,1.725426341
42.35256195,-71.1369828,0.761079513
42.36000824,-71.056741,1.446585748
42.28776169,-71.14048149,0.761079513
42.35829926,-71.0661,1.624522458
42.35129547,-71.08035556,1.549586127
42.35916519,-71.06666667,0.693793605
42.36280441,-71.06863056,0.608079234
42.35611725,-71.0552516,0.716366394
42.32265091,-71.10681914,1.48306308
42.2742157,-71.07990674,0.693793605
42.29425049,-71.06611012,0.761079513
42.32374191,-71.05782318,1.663097399
42.35611725,-71.0552516,0.82914194
42.36657715,-71.09900166,1.687333172
42.34882355,-71.158282,1.519569529
42.36378098,-71.10151359,0.992613975
42.34881973,-71.084473,1.667092947
42.31531906,-71.09020768,1.731875478
42.34693146,-71.09732107,1.859974995
42.31536102,-71.09024653,1.641529554
42.3544426,-71.13737079,1.842067527
42.29205322,-71.04305796,0.735271723
42.34635162,-71.1626756,1.48306308
42.35129547,-71.08035556,1.39991463
42.33709335,-71.08649381,1.715567252
42.34999847,-71.076,1.48306308
42.29672241,-71.11387321,1.441350846
42.28843689,-71.088016,1.74755843
42.3726387,-71.1096528,1.446585748
42.36650085,-71.11259375,1.340518733
42.27835083,-71.12811308,1.569969121
42.35499954,-71.06555556,1.526837307
42.28776169,-71.14048149,0.761079513
42.34925461,-71.06959264,1.313923162
42.3486557,-71.06787595,1.833833063
42.33763885,-71.03748333,0.745979878
42.35840607,-71.094559,0.693793605
42.35853195,-71.08771371,1.618182863
42.34165573,-71.1544439,0.92146317
42.35005569,-71.06556252,1.829300446
42.35842896,-71.0597732,1.681152
42.35832977,-71.094608,1.053028444
42.35611725,-71.0552516,0.761079513
42.35611725,-71.0552516,0.761079513
42.35611725,-71.0552516,0.565008676
42.34441757,-71.10129051,1.803859016
42.35779953,-71.0617,1.569969121
42.31541443,-71.09015487,1.54543671
42.35107422,-71.117179,0.540551378
42.35284805,-71.13252794,1.693803641
42.34374237,-71.10111946,1.48306308
42.35842896,-71.0597732,1.681152
42.33827209,-71.09881314,0.608079234
42.35411072,-71.069942,1.515617674
42.31750488,-71.050285,1.268083406
42.35395432,-71.0638082,1.526837307
42.34169388,-71.12124278,1.689973133
42.31202698,-71.11269205,1.605978616
42.34207535,-71.121261,1.803090913
42.30607986,-71.06711,0.804441652
42.31522751,-71.09004661,0.965737825
