longitude,latitude,created_at,tweet_id,text,score
-76.91502710,38.85110855,"2015-06-07 00:39:33",607346120147275776,"Don't lie about something and say u goin do &amp; don't do it ",0.8112
-79.34738159,43.67383194,"2015-06-07 00:39:33",607346120931483649,"Canada defeats China PR in Women's World Cup opener http://t.co/Gga4b4TJpP",1.1740
-74.43617165,39.35668564,"2015-06-07 00:39:33",607346121044803584,"'To us and only us. Now and forever.' Lucky Luciano in Boardwalk Empire

#AtlanticCity #boardwalk https://t.co/Bq8MsboRZm",0.8459
-86.14864022,39.69281006,"2015-06-07 00:39:35",607346128988864513,"Fuck straight heteronormative America",0.6256
-74.62897500,40.15158844,"2015-06-07 00:39:36",607346133132840960,"love my gf (kinda) @ lex has small feet https://t.co/26r8FMduXO",1.3217
-73.72235100,40.71136856,"2015-06-07 00:39:36",607346133619339265,"Wads of cash and floppy hats  @ Belmont Racetrack https://t.co/SJRpwCdRvH",0.7270
-73.97735500,40.75183868,"2015-06-07 00:39:36",607346133757739008,"We clean up nice! #kallyandpeter2015 #cipriani #sillyfaces romeroa19 @ Cipriani 42nd Street https://t.co/AOSX0rsGc3",1.7838
-73.97933200,40.30456924,"2015-06-07 00:39:37",607346137553608704,"Happy wedding #mrandmrsfish! @ Ocean Place Resort &amp; Spa https://t.co/yDzdnqEM2a",1.7258
-84.30815909,39.33110046,"2015-06-07 00:39:37",607346137826250753,"Congrats baby Tay and Justin @ weddings on weddings https://t.co/fZ5X86qjET",1.6173
-71.32423220,42.63895416,"2015-06-07 00:39:38",607346140003094529,"
Momento lindo
#benodoSenhor com nossa pastora luzia prcrisf @ Rcn Lowell/ Dracut https://t.co/1kVbSZVrfn",1.5676
-84.25824855,39.57324982,"2015-06-07 00:39:38",607346140409921536,"My shoulder just might fall off ",0.6463
-71.04049100,42.35136795,"2015-06-07 00:39:40",607346148626583552,"New Event: Boathouse Friday Cruises @ Spirit of Boston (Boston, MA) http://t.co/OdzdZk8fcg",1.2508
-85.90475348,42.96215057,"2015-06-07 00:39:41",607346153072553984,"@DecaziDW yes",1.2324
-79.65038322,43.60839462,"2015-06-07 00:39:41",607346154955784192,"Filter coffee time! #madras #southindian #yummy #foodie #mumbaipink (@ Saravanaa Bhavan in Mississauga, ON) https://t.co/o4ly3mQmKm",1.4181
-71.49153000,42.83149338,"2015-06-07 00:39:43",607346162195136512,"New Hampshire was cool but my hair was cooler @ throwback https://t.co/WWI8a2G98N",1.4832
-83.21360350,42.54683685,"2015-06-07 00:39:43",607346162572619776,"Carryout at @beSocialBham dinner time! (@ Social Kitchen &amp; Bar in Birmingham, MI) https://t.co/EigQx2MdWB",1.3125
-77.06272721,38.90465546,"2015-06-07 00:39:44",607346164162297856,"#enjoying #hot #delicious #crepe with #nutella at #muncheezdc in #georgetown #georgetowndc #yummers https://t.co/rE65d5EFij",1.3105
